SIGLA,nome curto,nome longo,definição,cat,short name,long name,definition
p_med,% dos ocupados com médio completo - 18 anos ou mais,Percentual dos ocupados com médio completo,"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas que já concluíram o ensino médio (regular seriado, regular não seriado, EJA ou supletivo) e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100. Foram consideradas como já tendo concluído o médio aquelas pessoas que frequentavam a 4ª série desse nível de ensino.",econ,% of occupied with medium full-18 years or older,Percentage of occupied with medium complete,"Ratio of the number of people 18 years or older occupied that have completed high school (regular show, no regular tv series, ADULT and YOUTH EDUCATION or GED) and the total number of persons employed in this age group, multiplied by 100. Were considered as having already completed the Middle people who frequented the 4th grade of this level of education."
p_serv,% dos ocupados no setor serviços - 18 anos ou mais,Percentual dos ocupados no setor serviços,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas no setor de serviços e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of occupied in the sector services-18 years or older,Percentage of occupied in the sector services,"Ratio of the number of people 18 years or older employed in the service sector and the total number of persons employed in this age group, multiplied by 100."
p_siup,% dos ocupados no SIUP - 18 anos ou mais,Percentual dos ocupados nos setores de serviços industriais de utilidade pública,"Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas nos setor de serviços industriais de utilidade pública e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100. Esse setor inclui as atividades constantes das seções D e E do CNAE DOM 2.0: geração, transmissão e distribuição de eletricidade e gás; captação, tratamento e distribuição de água; esgoto e atividades relacionadas; coleta, tratamento e disposição de resíduos e recuperação de materiais; descontaminação e outros serviços de gestão de resíduos.",econ,% of occupied in 18 years or more-SIUP,Percentage of occupied in the sectors of industrial services of public utility,QUERY LENGTH LIMIT EXCEDEED. MAX ALLOWED QUERY : 500 CHARS
p_super,% dos ocupados com superior completo - 18 anos ou mais,Percentual dos ocupados com superior completo,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e que já concluíram a graduação do ensino superior e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of occupied with superior full-18 years or older,Percentage of occupied with full top,"Ratio of the number of people 18 years or older and who have already completed a degree in higher education and the total number of persons employed in this age group, multiplied by 100."
p_transf,% dos ocupados na indústria de transformação - 18 anos ou mais,Percentual dos ocupados na indústria de transformação,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas na indústria de transformação e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of occupied in the manufacturing industry-18 years or older,Percentage of occupied in the manufacturing industry,
ren0,% dos ocupados sem rendimento - 18 anos ou mais,Percentual dos ocupados sem rendimento,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e sem rendimento do trabalho e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of occupied without yield – 18 years or older,Percentage of occupied without income,"Ratio of the number of people 18 years or older and without labour income and the total number of persons employed in this age group, multiplied by 100."
ren1,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais,Percentual dos ocupados com rendimento de até 1 salário mínimo,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e com rendimento mensal de todos os trabalhos inferior a 1 salário mínimo de julho de 2010 e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of occupied with income of up to 1 s.m.-18 years or older,Percentage of occupied with income of up to 1 minimum wage,"Ratio of the number of people 18 years or older and with monthly income of all work below minimum wage July 1 2010 and the total number of persons employed in this age group, multiplied by 100."
ren2,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais,Percentual dos ocupados com rendimento de até 2 salários mínimos,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e com rendimento mensal de todos os trabalhos inferior a 2 salários mínimos de julho de 2010 e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of occupied with income of up to 2-18 years of age or older.,Percentage of occupied with income of up to 2 minimum wages,"Ratio of the number of people 18 years or older and with monthly income of all jobs less than 2 July 2010 minimum wages and the total number of persons employed in this age group, multiplied by 100."
ren3,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais,Percentual dos ocupados com rendimento de até 3 salários mínimo,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e com rendimento mensal de todos os trabalhos inferior a 3 salários mínimos de julho de 2010 e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of occupied with income of up to 3-18 years of age or older.,Percentage of occupied with income of up to 3 minimum wages,"Ratio of the number of people 18 years or older and with monthly income of all jobs less than 3 minimum wages from July 2010 and the total number of persons employed in this age group, multiplied by 100."
ren5,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais,Percentual dos ocupados com rendimento de até 5 salários mínimo,Razão entre o número de pessoas de 18 anos ou mais de idade ocupadas e com rendimento mensal de todos os trabalhos inferior a 5 salários mínimos de julho de 2010 e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of occupied with up to yield 5-18 years or more.,Percentage of occupied with income of up to 5 minimum wages,"Ratio of the number of people 18 years or older and with monthly income of all jobs less than 5 July 2010 minimum wages and the total number of persons employed in this age group, multiplied by 100."
renocup,Rendimento médio dos ocupados - 18 anos ou mais,Rendimento médio dos ocupados,Média dos rendimentos de todos os trabalhos das pessoas ocupadas de 18 anos ou mais de idade. Valores em reais de agosto de 2010.,econ,Average income of busy-18 years or older,Average income of busy,The average income from all jobs of the busy people of 18 years or older. Actual values of August 2010.
t_ativ,Taxa de atividade - 10 anos ou mais,Taxa de atividade das pessoas de 10 anos ou mais de idade,"Razão entre as pessoas de 10 anos ou mais de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.",econ,Activity rate-10 years or more,Activity rate of people 10 years or older,"Ratio between people of 10 years or more of age were economically active, i.e. they were occupied or unoccupied on census reference week and the total number of people in this age group, multiplied by 100. It is considered vacant the person who, not being busy in the reference week, had sought work in the month prior to this research."
t_ativ1014,Taxa de atividade - 10 a 14 anos,Taxa de atividade das pessoas de 10 a  14 anos de idade,"Razão entre as pessoas de 10 a 14 anos de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.",econ,Activity rate-10 to 14 years,Activity rate of people from 10 to 14 years of age,"Reason people from 10 to 14 years of age were economically active, i.e. they were occupied or unoccupied on census reference week and the total number of people in this age group, multiplied by 100. It is considered vacant the person who, not being busy in the reference week, had sought work in the month prior to this research."
t_ativ1517,Taxa de atividade - 15 a 17 anos,Taxa de atividade das pessoas de 15 a  17 anos de idade,"Razão entre as pessoas de 15 a 17 anos de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.",econ,Activity rate-15 to 17 years,Activity rate of people from 15 to 17 years of age,"Reason people from 15 to 17 years of age were economically active, i.e. they were occupied or unoccupied on census reference week and the total number of people in this age group, multiplied by 100. It is considered vacant the person who, not being busy in the reference week, had sought work in the month prior to this research."
t_ativ1824,Taxa de atividade - 18 a 24 anos,Taxa de atividade das pessoas de 18 a 24 anos de idade,"Razão entre as pessoas de 18 a 24 anos de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.",econ,Activity rate-18 to 24 years,Activity rate of people 18 to 24 years of age,"Ratio between people of 18 to 24 years of age were economically active, i.e. they were occupied or unoccupied on census reference week and the total number of people in this age group, multiplied by 100. It is considered vacant the person who, not being busy in the reference week, had sought work in the month prior to this research."
t_ativ18m,Taxa de atividade - 18 anos ou mais,Taxa de atividade das pessoas de 18 anos ou mais de idade,"Razão entre as pessoas de 18 anos ou mais de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.",econ,Activity rate-18 years or older,Activity rate of people 18 years or older,"Ratio of people 18 years or older who were economically active, i.e. they were occupied or unoccupied on census reference week and the total number of people in this age group, multiplied by 100. It is considered vacant the person who, not being busy in the reference week, had sought work in the month prior to this research."
t_ativ2529,Taxa de atividade - 25 a 29 anos,Taxa de atividade das pessoas de 25 a 29 anos de idade,"Razão entre as pessoas de 25 a 29 anos de idade que eram economicamente ativas, ou seja, que estavam ocupadas ou desocupadas na semana de referência do Censo e o total de pessoas nesta faixa etária multiplicado por 100. Considera-se desocupada a pessoa que, não estando ocupada na semana de referência, havia procurado trabalho no mês anterior a essa pesquisa.",econ,Activity rate-25 to 29 years,Activity rate of people 25 to 29 years of age,"Reason people from 25 to 29 years of age were economically active, i.e. they were occupied or unoccupied on census reference week and the total number of people in this age group, multiplied by 100. It is considered vacant the person who, not being busy in the reference week, had sought work in the month prior to this research."
t_des,Taxa de desocupação - 10 anos ou mais,Taxa de desocupação da população de 10 anos ou mais de idade,"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.",econ,Vacancy rate-10 years or more,"Figure  <x id=""2""/> - Unemployment rate of the population aged 18 or over in 2010 by state.","Percentage of economically active population (PEA) in this age group that was open, i.e. that it was not busy the week before at the time of the Census but had been looking for work during the month prior to the date of this research."
t_des1014,Taxa de desocupação - 10 a 14 anos,Taxa de desocupação da população de 10 a 14 anos de idade,"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.",econ,Vacancy rate-10 to 14 years,Vacancy rate of the population from 10 to 14 years of age,"Percentage of economically active population (PEA) in this age group that was open, i.e. that it was not busy the week before at the time of the Census but had been looking for work during the month prior to the date of this research."
t_des1517,Taxa de desocupação - 15 a 17 anos,Taxa de desocupação da população de 15 a 17 anos de idade,"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.",econ,Vacancy rate-15 to 17 years,Vacancy rate of the population of 15 to 17 years of age,"Percentage of economically active population (PEA) in this age group that was open, i.e. that it was not busy the week before at the time of the Census but had been looking for work during the month prior to the date of this research."
t_des1824,Taxa de desocupação - 18 a 24 anos,Taxa de desocupação da população de 18 a 24 anos de idade,"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.",econ,Vacancy rate-18 to 24 years,Vacancy rate of 18 to 24 years of age,"Percentage of economically active population (PEA) in this age group that was open, i.e. that it was not busy the week before at the time of the Census but had been looking for work during the month prior to the date of this research."
t_des18m,Taxa de desocupação - 18 anos ou mais,Taxa de desocupação da população de 18 anos ou mais de idade,"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.",econ,Vacancy rate-18 years or older,Vacancy rate of the population of 18 years or older,"Percentage of economically active population (PEA) in this age group that was open, i.e. that it was not busy the week before at the time of the Census but had been looking for work during the month prior to the date of this research."
t_des2529,Taxa de desocupação - 25 a 29 anos,Taxa de desocupação da população de 25 a 29 anos de idade,"Percentual da população economicamente ativa (PEA) nessa faixa etária que estava desocupada, ou seja, que não estava ocupada na semana anterior à data do Censo mas havia procurado trabalho ao longo do mês anterior à data dessa pesquisa.",econ,Vacancy rate-25 to 29 years,Vacancy rate of 25 to 29 years of age,"Percentage of economically active population (PEA) in this age group that was open, i.e. that it was not busy the week before at the time of the Census but had been looking for work during the month prior to the date of this research."
theiltrab,Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais,Índice de Theil-L dos rendimentos do trabalho,"Mede a desigualdade na distribuição de indivíduos de 18 anos ou mais de idade ocupados, segundo o rendimento de todos os trabalhos, excluídos aqueles sem rendimento do trabalho. É o logaritmo da razão entre as médias aritmética e geométrica do rendimento dos indivíduos, sendo nulo quando não existir desigualdade de renda entre eles e tendente ao infinito quando a desigualdade tender ao máximo.",econ,Theil-L Index of Job Revenues - 18 years or older,Theil-L index of employment income,"Measures the inequality in the distribution of individuals of 18 years or older, according to the income from all jobs, excluded those without labour income. Is the logarithm of the ratio of arithmetic and geometric means of income of individuals, being null when there is no income inequality between them and tending to infinity when the inequality tend to the fullest."
trabcc,% de empregados com carteira - 18 anos ou mais,Percentual de ocupados de 18 anos ou mais que são empregados com carteira ,Razão entre o número de empregados de 18 anos ou mais de idade com carteira de trabalho assinada e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of employees with portfolio - 18 years or more,Percentage of engaged in 18 years or older who are employed with wallet,"Ratio of the number of employees of 18 years or older with working papers signed and the total number of persons employed in this age group, multiplied by 100."
trabpub,% de trabalhadores do setor público - 18 anos ou mais,Percentual de ocupados de 18 anos ou mais que são trabalhadores do setor público.,"Razão entre o número de trabalhadores do setor público de 18 anos ou mais de idade e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100. Os trabalhadores do setor público incluem os empregados pelo regime jurídico dos funcionários públicos e os militares do exército, marinha, aeronáutica, polícia militar ou corpo de bombeiros.",econ,% of public sector workers - 18 years or older,Percentage of engaged in 18 years or more who are public sector workers.,
trabsc,% de empregados sem carteira - 18 anos ou mais,Percentual de ocupados de 18 anos ou mais que são empregados sem carteira ,Razão entre o número de empregados de 18 anos ou mais de idade sem carteira de trabalho assinada e o número total de pessoas ocupadas nessa faixa etária multiplicado por 100.,econ,% of employees without portfolio - 18 years or more,Percentage of engaged in 18 years or older who are employed without wallet,"Ratio of the number of employees of 18 years or older without working papers signed and the total number of persons employed in this age group, multiplied by 100."
t_agua,% da população em domicílios com água encanada,Percentual da população que vive em domicílios com água encanada,"Razão entre a população que vive em domicílios particulares permanentes com água canalizada para um ou mais cômodos e a população total residente em domicílios particulares permanentes multiplicado por 100. A água pode ser proveniente de rede geral, de poço, de nascente ou de reservatório abastecido por água das chuvas ou carro-pipa.",sanit,% of the population in households with running water,Percentage of population living in households with running water,"Ratio of the population living in permanent private households with piped water to one or more rooms and the total population living in permanent private households multiplied by 100. The water may come from the general network, from the well, from the source or from the reservoir supplied by rainwater or car-kite."
t_banagua,% da população em domicílios com banheiro e água encanada,Percentual da população que vive em domicílios com banheiro e água encanada,"Razão entre a população que vive em domicílios particulares permanentes com água encanada em pelo menos um de seus cômodos e com banheiro exclusivo e a população total residente em domicílios particulares permanentes multiplicado por 100. A água pode ser proveniente de rede geral, de poço, de nascente ou de reservatório abastecido por água das chuvas ou carro-pipa. Banheiro exclusivo é definido como cômodo que dispõe de chuveiro ou banheira e aparelho sanitário.",sanit,% of the population in households with bathrooms and running water,Percentage of the population living in households with bathrooms and running water,"Ratio of the population living in permanent private households with piped water in at least one of their rooms with an exclusive bathroom and the total population living in permanent private households multiplied by 100. The water may come from general, well, source or reservoir supplied by rainwater or car-kite. Exclusive bathroom is defined as room that has shower or bath and toilet."
t_dens,% da população em domicílios com densidade > 2,Percentual da população que vive em domicílios com densidade superior a 2 pessoas por dormitório,Razão entre a população que vive em domicílios particulares permanentes com densidade superior a 2 e a população total residente em domicílios particulares permanentes multiplicado por 100. A densidade do domicílio é dada pela razão entre o total de moradores do domicílio e o número total de cômodos usados como dormitório.,pop,% of population in households with density&gt; 2,Percentage of population living in households with a density exceeding 2 persons per bedroom,Ratio of the population living in private permanent homes with a density exceeding 2 and the total population residing in private permanent homes multiplied by 100. The density of the domicile is given by the ratio between the total number of residents of the home and the total number of rooms used as dorms.
t_lixo,% da população em domicílios com coleta de lixo,Percentual da população que vive em domicílios urbanos com serviço de coleta de lixo,"Razão entre a população que vive em domicílios com coleta de lixo e a população total residente em domicílios particulares permanentes multiplicado por 100. Estão incluídas as situações em que a coleta de lixo realizada diretamente por empresa pública ou privada, ou o lixo é depositado em caçamba, tanque ou depósito fora do domicílio, para posterior coleta pela prestadora do serviço. São considerados apenas os domicílios particulares permanentes localizados em área urbana.",sanit,% of the population in households with garbage collection,Percentage of the population living in urban households with a garbage collection service,"Ratio between the population living in households with garbage collection and the total population living in permanent private households multiplied by 100. These include situations where the collection of garbage directly by a public or private company, or the garbage is deposited in a bucket , tank or depot outside the home, for later collection by the service provider. Only permanent private households located in an urban area are considered."
t_luz,% da população em domicílios com energia elétrica,Percentual da população que vive em domicílios com energia elétrica,"Razão entre a população que vive em domicílios particulares permanentes com iluminação elétrica e a população total residente em domicílios particulares permanentes multiplicado por 100. Considera-se iluminação proveniente ou não de uma rede geral, com ou sem medidor.",econ,% of the population in households with electricity,Percentage of population living in households with electricity,"Ratio of the population living in private permanent homes with electric lighting and the total population residing in private permanent homes multiplied by 100. Lighting is considered from a general network, with or without meter."
agua_esgoto,% de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados,   % de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados,"Razão entre as pessoas que vivem em domicílios cujo abastecimento de água não provem de rede geral e cujo esgotamento sanitário não é realizado por rede coletora de esgoto ou fossa séptica e a população total residente em domicílios particulares permanentes multiplicado por 100. São considerados apenas os domicílios particulares permanentes.
",sanit,% of people in households with inadequate water supply and sewage,% of people in households with inadequate water supply and sewage,Ratio among persons living in households whose water supply does not come from a general network and whose sanitary sewage is not carried out by sewage collection system or septic tank and the total population living in permanent private households multiplied by 100. Only households individuals.
parede,% de pessoas em domicílios com paredes inadequadas, % de pessoas em domicílios com paredes que não sejam de alvenaria ou madeira aparelhada,"Razão entre as pessoas que vivem em domicílios cujas paredes não são de alvenaria nem de madeira aparelhada e a população total residente em domicílios particulares permanentes multiplicado por 100. São considerados apenas os domicílios particulares permanentes.
",econ,% of people in homes with inadequate walls,% of people in households with non-masonry walls or solid wood,Ratio of people living in households whose walls are of masonry or wood equipped and the total population residing in private permanent homes multiplied by 100. Are considered only the private permanent homes.
t_crifundin_todos,% de crianças em domicílios em que ninguém tem fundamental completo,% de crianças que vivem em domicílios em que nenhum dos moradores tem o ensino fundamental completo.,"Razão entre o número de crianças de até 14 anos que vivem em domicílios em que nenhum dos moradores tem o ensino fundamental completo e a população total nesta faixa etária residente em domicílios particulares permanentes multiplicado por 100. São considerados apenas os domicílios particulares permanentes.
",edu,% of children in households where no one has complete fundamental,% of children living in households in which none of the residents have complete elementary school.,Ratio of the number of children up to 14 years living in households in which none of the residents have complete elementary school and the total population in this age group living in private permanent homes multiplied by 100. Are considered only the private permanent homes.
t_fora4a5,% de crianças de 4 a 5 anos fora da escola,   % de crianças de 4 a 5 anos que não frequenta a escola,Razão entre o número de crianças de 4 a 5 anos que não frequenta a escola e o total de crianças nesta faixa etária multiplicado por 100.,edu,% of children 4 to 5 years out of school,% of children 4 to 5 years since I go to school,"Ratio of the number of children 4 to 5 years who do not go to school and the total number of children in this age group, multiplied by 100."
t_fora6a14,% de crianças de 6 a 14 fora da escola,   % de crianças de 6 a 14 anos que não frequenta a escola,Razão entre as crianças de 6 a 14 anos que não frequenta a escola e o total de crianças nesta faixa etária multiplicado por 100.,edu,% of children 6 to 14 out of school,% of children aged 6 to 14 years who doesn't go to school,"Ratio of children from 6 to 14 years who do not go to school and the total number of children in this age group, multiplied by 100."
t_fundin_todos,% de pessoas em domicílios em que ninguém tem fundamental completo,% pessoas que vivem em domicílios em que nenhum morador tem o ensino fundamental completo.,Razão entre as pessoas que vivem em domicílios em que nenhum dos moradores tem o ensino fundamental completo e a população total residente em domicílios particulares permanentes multiplicado por 100.,edu,% of people in households where no one has complete fundamental,% people living in households in which no resident has the complete elementary school.,Ratio of people living in households in which none of the residents have complete elementary school and the total population residing in private permanent homes multiplied by 100.
t_fundin_todos_mmeio,% de pessoas em domicílios vulneráveis à pobreza e em que ninguém tem fundamental completo.,   % de pessoas em domicílios vulneráveis à pobreza e em que ninguém tem fundamental completo.,"Percentual de pessoas que vivem em domicílios vulneráveis à pobreza (com renda per capita inferior a 1/2 salário mínimo de agosto de 2010) e em que ninguém tem o ensino fundamental completo. São considerados apenas os domicílios particulares permanentes.
",edu,% of people in households vulnerable to poverty and in which no one has complete fundamental.,% of people in households vulnerable to poverty and in which no one has complete fundamental.,Percentage of people living in households vulnerable to poverty (with per capita income lower than the minimum wage 1/2 of August 2010) and that nobody has the complete elementary school. Are considered only the private permanent homes.
t_fundin18minf,% de pessoas de 18 anos ou mais sem fundamental completo e em ocupação informal,% de pessoas de 18 anos ou mais sem fundamental completo e em ocupação informal,"Razão entre as pessoas de 18 anos ou mais sem fundamental completo e em ocupação informal e a população total nesta faixa etária multiplicado por 100. Ocupação informal implica que trabalham mas não são: empregados com carteira de trabalho assinada, militares do exército, da marinha, da aeronáutica, da polícia militar ou do corpo de bombeiros, empregados pelo regime jurídico dos funcionários públicos ou empregadores e trabalhadores por conta própria com contribuição a instituto de previdência oficial.",edu,% of people 18 years of age and over without full fundamental and in informal occupation,% of people 18 years of age and over without full fundamental and in informal occupation,QUERY LENGTH LIMIT EXCEDEED. MAX ALLOWED QUERY : 500 CHARS
t_m10a14cf,% de mulheres de 10 a 14 anos que tiveram filhos,Percentual de mulheres de 10 a 14 anos de idade que tiveram filhos,Razão entre as mulheres de 10 a 14 anos de idade que tiveram filhos e o total de mulheres nesta faixa etária multiplicado por 100.,pop,% of women aged 10 to 14 years who had children,Percentage of women aged 10 to 14 years of age who have had children,"Ratio of women from 10 to 14 years of age who have had children and the total of women in this age group, multiplied by 100."
t_m15a17cf,% de mulheres de 15 a 17 anos que tiveram filhos,Percentual de mulheres de 15 a 17 anos de idade que tiveram filhos,Razão entre as mulheres de 15 a 17 anos de idade que tiveram filhos e o total de mulheres nesta faixa etária multiplicado por 100.,pop,% of women aged 15 to 17 years who had children,Percentage of women aged 15 to 17 years of age who have had children,"Reason among women of 15 to 17 years of age who have had children and the total of women in this age group, multiplied by 100."
t_mulchefefif014,% de mães chefes de família sem fundamental completo e com filhos menores de 15 anos,"Percentual de mães chefes de família, sem fundamental completo e com pelo menos um filho menor de 15 anos de idade","Razão entre o número de mulheres que são responsáveis pelo domicílio, não têm o ensino fundamental completo e têm pelo menos 1 filho de idade inferior a 15 anos morando no domicílio e o número total de mulheres chefes de família multiplicado por 100. São considerados apenas os domicílios particulares permanentes.",pop,% of mothers of heads of household without complete fundamental and with children under 15 years,"Percentage of mothers family heads, without fundamental complete with at least one child under 15 years of age","Ratio of the number of women who are responsible for the home, do not have the complete elementary school and have at least 1 child under the age of 15 years living at home and the total number of women heads of family multiplied by 100. Are considered only the private permanent homes."
t_nestuda_ntrab_mmeio,% de pessoas de 15 a 24 anos que não estudam nem trabalham e são vulneráveis à pobreza., % de pessoas de 15 a 24 anos que não estudam nem trabalham e são vulneráveis à pobreza.,"Razão entre as pessoas de 15 a 24 anos que não estudam nem trabalham e são vulneráveis à pobreza e a população total nesta faixa etária multiplicado por 100. Define-se como vulneráveis à pobreza as pessoas que moram em domicílios com renda per capita inferior a 1/2 salário mínimo de agosto de 2010. São considerados apenas os domicílios particulares permanentes.
",econ,% of 15- to 24-year-olds who do not study or work and are vulnerable to poverty.,% of 15- to 24-year-olds who do not study or work and are vulnerable to poverty.,"Reason people from 15 to 24 years who do not study or work and are vulnerable to poverty, and the total population in this age group, multiplied by 100. Defined as vulnerable to poverty people living in households with per capita income lower than the minimum wage 1/2 of August 2010. Are considered only the private permanent homes."
t_ocupdesloc_1, % de pessoas vulneráveis à pobreza e que gastam mais de uma hora até o trabalho,   % de pessoas em domicílios vulneráveis à pobreza e que gastam mais de uma hora até o trabalho,"Razão entre as pessoas que vivem em domicílios vulneráveis à pobreza (com renda per capita inferior a 1/2 salário mínimo de agosto de 2010) e que gastam mais de uma hora em deslocamento até o local de trabalho e e o total de pessoas ocupadas multiplicado por 100. São considerados apenas os domicílios particulares permanentes e as pessoas com 18 anos de idade ou mais.
",econ,% of people vulnerable to poverty and spend more than an hour to work,% of people in households vulnerable to poverty and who spend more than 1 hour to work,Ratio of people living in households vulnerable to poverty (with per capita income lower than the minimum wage 1/2 of August 2010) and who spend more than 1 hour in to the workplace and the total number of persons employed multiplied by 100. Are considered only the private permanent homes and people with 18 years of age or older.
t_rmaxidoso,% de pessoas em domicílios vulneráveis à pobreza e dependentes de idosos,% de pessoas em domicílios vulneráveis à pobreza e dependentes de idosos,"Razão entre as pessoas que vivem em domicílios vulneráveis à pobreza (com renda per capita inferior a 1/2 salário mínimo de agosto de 2010) e nos quais a principal fonte de renda provém de moradores com 65 anos ou mais de idade e população total residente em domicílios particulares permanentes multiplicado por 100.
",econ,% of people in households vulnerable to poverty and dependent on the elderly,% of people in households vulnerable to poverty and dependent on the elderly,Ratio of people living in households vulnerable to poverty (with per capita income lower than the minimum wage 1/2 of August 2010) and in which the main source of income comes from residents with 65 years or older and the total population resident in households permanent private multiplied by 100.
t_sluz,% de pessoas em domicílios sem energia elétrica,   % de pessoas em domicílios sem energia elétrica,"Razão entre as pessoas que vivem em domicílios sem energia elétrica e população total residente em domicílios particulares permanentes multiplicado por 100. 
",econ,% of people in households without electricity,% of people in households without electricity,Ratio of people living in households without power and the total population residing in private permanent homes multiplied by 100.
homem0a4,População masculina de 0 a 4 anos,População masculina de 0 a 4 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population 0 to 4 years old,The male population of 0 to 4 years of age,Population in this age group and male
homem10a14,População masculina de 10 a 14 anos,População masculina de 10 a 14 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population from 10 to 14 years old,The male population of 10 to 14 years of age,Population in this age group and male
homem15a19,População masculina de 15 a 19 anos,População masculina de 15 a 19 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population aged 15 to 19 years,Male population 15 to 19 years old,Population in this age group and male
homem20a24,População masculina de 20 a 24 anos,População masculina de 20 a 24 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population aged 20 to 24,Male population from 20 to 24 years of age,Population in this age group and male
homem25a29,População masculina de 25 a 29 anos,População masculina de 25 a 29 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population 25 to 29 years old,Male population 25 to 29 years of age,Population in this age group and male
homem30a34,População masculina de 30 a 34 anos,População masculina de 30 a 34 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population from 30 to 34 years old,Male population from 30 to 34 years of age,Population in this age group and male
homem35a39,População masculina de 35 a 39 anos,População masculina de 35 a 39 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population aged 35-39,Male population from 35 to 39 years of age,Population in this age group and male
homem40a44,População masculina de 40 a 44 anos,População masculina de 40 a 44 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population from 40 to 44 years old,Male population 40-44 years old,Population in this age group and male
homem45a49,População masculina de 45 a 49 anos,População masculina de 45 a 49 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population aged 45 to 49,Male population 45 to 49 years of age,Population in this age group and male
homem50a54,População masculina de 50 a 54 anos,População masculina de 50 a 54 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population aged 50 to 54,Male population 50 to 54 years of age,Population in this age group and male
