 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Hanseníase por Município e Ano/Mês
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"Total"
"313190 Itabirito";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;1;-;1;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;3;-;-;-;-;-;-;-;-;-;-;-;3;1;1;1;1;-;6;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;167
"313200 Itacambira";-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;21
"313210 Itacarambi";10;7;14;38;30;21;-;1;-;-;-;-;-;-;-;-;-;-;-;4;5;-;-;2;1;1;-;2;8;-;-;2;-;-;34;-;-;1;2;-;9;-;-;-;2;-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;1;1;1;-;-;1;-;-;-;-;7;-;1;3;-;2;1;1;-;-;-;3;-;-;-;-;-;1;4;1;1;28;1;-;1;2;1;1;-;4;2;-;1;-;1;-;39;2;19;4;1;2;2;-;-;-;4;-;-;2;1;-;3;2;21;65;4;1;1;2;2;1;-;3;4;2;3;1;-;2;2;15;4;-;-;-;-;-;-;-;483
"313220 Itaguara";-;-;-;-;3;6;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;-;1;1;1;2;3;3;3;2;3;3;2;2;2;2;2;2;-;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-;2;2;2;2;2;2;2;2;2;-;-;1;-;-;1;1;1;1;-;1;1;2;1;1;-;1;122
"313230 Itaipé";-;1;-;5;15;8;2;1;1;1;-;-;1;-;-;-;-;-;1;-;3;1;1;3;3;-;-;-;-;-;-;1;1;-;3;3;2;2;1;3;3;4;-;1;4;3;4;3;4;2;1;2;2;3;-;1;1;3;2;1;1;4;1;1;1;1;-;1;1;2;-;1;-;-;-;1;1;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;-;1;1;2;1;1;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;59;1;-;1;1;1;1;1;2;2;3;3;-;3;-;-;-;-;-;221
"313240 Itajubá";-;-;-;1;1;-;-;-;-;1;1;1;1;3;1;2;1;1;1;1;1;1;-;-;-;4;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;231;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;382;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;2;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;1;1;1;2;-;272;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;1;1;1;1;1;2;2;51;-;1033
"313250 Itamarandiba";1;-;2;21;1;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;-;-;4;3;7;5;10;11;7;5;4;4;1;7;-;1;6;1;3;1;1;1;4;4;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;1;1;1;-;-;1;2;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;3;3;2;4;35;2;2;-;3;-;1;1;-;1;-;1;1;1;1;3;1;-;-;1;-;-;-;-;30;-;105;-;-;-;3;-;1;-;-;365
"313260 Itamarati de Minas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;96
"313270 Itambacuri";-;7;43;52;59;41;-;-;2;314;-;-;1;5;10;18;15;12;19;26;22;13;18;20;18;18;20;17;18;15;6;12;13;11;12;15;11;8;7;6;5;12;11;8;10;9;8;16;10;13;182;17;11;9;8;8;6;4;3;4;-;-;-;-;-;5;6;3;2;2;2;1;2;3;3;5;4;12;4;7;8;7;65;8;8;6;5;8;5;2;6;4;8;3;3;2;3;6;6;4;4;2;5;2;4;4;1;1;4;3;5;40;4;9;6;3;5;7;7;5;6;4;-;12;7;8;7;7;43;7;6;7;7;10;7;10;8;6;6;7;8;9;228;4;-;-;-;-;-;-;2031
"313280 Itambé do Mato Dentro";-;-;-;1;1;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"313290 Itamogi";-;1;6;12;19;12;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;2;-;1;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;149
"313300 Itamonte";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;1;1;1;1;-;-;-;-;1;1;1;1;1;-;39
"313310 Itanhandu";-;5;4;8;5;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;158;-;-;-;1;1;1;1;1;1;1;1;1;1;1;2;2;1;-;1;1;1;1;1;-;1;26;1;2;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;1;-;-;1;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;266
"313320 Itanhomi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;13;2;3;2;5;4;4;4;5;4;10;5;5;8;10;9;8;9;1;4;42;5;5;5;3;3;4;5;73;3;5;6;3;4;1;4;4;3;1;2;1;1;1;2;2;2;3;-;5;4;4;2;4;4;3;2;4;5;2;3;2;4;3;5;6;5;11;11;11;11;10;4;6;7;3;11;-;3;2;5;1;9;11;7;57;7;9;6;4;3;2;3;3;4;6;5;-;-;-;-;-;-;621
"313330 Itaobim";-;3;-;16;8;16;-;-;1;-;3;-;1;-;1;-;-;-;-;1;1;2;1;2;4;2;3;6;1;2;4;1;1;1;2;2;3;3;4;2;-;7;2;1;1;3;5;4;7;9;7;7;6;6;5;2;3;4;4;4;3;3;1;2;2;1;1;1;-;1;1;1;1;2;-;4;9;3;8;5;18;8;14;14;6;11;15;13;12;14;7;10;11;6;7;10;5;5;4;3;5;3;9;8;7;3;5;7;3;6;4;2;5;6;7;7;7;7;7;7;8;7;7;6;7;4;1;-;5;2;2;-;2;1;4;3;-;-;4;2;1;2;3;60;5;6;4;4;-;-;691
"313340 Itapagipe";7;7;6;7;10;2;-;-;-;2;-;1;1;1;2;2;-;-;-;-;-;-;-;3;-;-;-;-;5;-;2;2;-;-;-;-;-;-;3;2;1;1;2;1;3;1;1;1;-;2;1;-;-;-;2;2;-;-;1;-;-;1;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;6;5;1;2;1;2;1;1;2;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120
"313350 Itapecerica";-;-;11;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;1;379;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;1;1;1;1;-;1;1;1;2;2;2;1;1;1;2;1;2;2;3;2;5;3;3;-;2;2;4;2;2;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;1;1;1;1;5;2;2;-;551
"313360 Itapeva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;1;3;5;3;5;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;1;-;-;-;2;1;2;1;1;-;-;2;4;-;-;1;1;1;1;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62
"313370 Itatiaiuçu";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;1;-;-;-;1;-;1;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"313375 Itaú de Minas";-;-;-;3;7;55;1;1;3;4;2;2;1;3;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;1;-;-;1;-;-;-;1;-;-;1;1;1;2;3;1;1;1;3;2;1;1;2;1;1;1;1;1;1;-;-;-;-;-;2;1;-;-;2;-;-;1;1;1;3;1;3;2;1;-;-;1;1;1;-;-;-;2;1;1;1;1;1;1;1;-;-;-;1;-;1;-;2;2;2;3;2;-;1;-;2;1;1;1;1;1;63;1;1;1;1;1;2;2;1;1;1;1;1;248
"313380 Itaúna";-;2;65;56;25;26;1;1;1;1;1;1;1;2;2;2;2;3;1;1;2;3;3;1;1;2;4;4;3;6;4;14;3;4;2;5;3;285;2;2;1;2;2;2;2;1;-;115;1;42;1;7;-;1;7;2;1;6;2;2;47;1;1;2;-;-;-;1;3;4;1;2;134;2;2;2;2;1;2;2;7;366;5;-;-;82;-;-;2;1;2;-;2;388;-;19;-;1;-;308;1;1;-;-;-;-;-;-;-;-;-;187;-;-;1;-;-;-;128;1;-;-;2;-;1;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;1;-;-;-;36;-;-;-;2502
"313390 Itaverava";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;1;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;259
"313400 Itinga";-;-;5;16;16;279;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;4;2;4;2;1;4;1;3;3;4;3;4;5;4;-;-;-;-;-;-;4;1;-;-;-;-;3;3;3;2;1;4;6;4;5;-;3;5;4;4;2;1;5;5;4;2;-;2;2;5;3;4;-;1;6;7;4;5;7;8;5;5;4;3;4;4;2;2;2;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;528
"313410 Itueta";-;-;-;-;11;17;2;1;1;3;2;2;1;2;5;4;4;4;4;4;4;-;-;-;-;1;4;2;1;1;1;1;-;-;1;1;1;-;1;-;-;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;1;-;1;-;-;1;-;1;-;1;1;1;-;1;19;1;118;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;2;3;2;3;2;2;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;277
"313420 Ituiutaba";18;29;26;51;108;14;3;3;-;2;1;1;1;2;-;3;-;-;-;-;-;-;-;-;1;69;-;-;-;1;1;4;1;-;-;-;2;-;2;2;6;7;3;4;5;4;-;3;4;3;2;-;1;2;3;2;2;-;1;1;2;3;2;1;5;-;8;13;3;5;10;3;7;7;7;6;16;362;7;4;2;8;6;7;-;7;8;6;6;9;39;10;4;5;3;8;2;-;6;1;2;10;12;5;8;8;5;8;6;2;3;2;2;1;-;2;2;-;1;2;-;-;-;-;1;-;2;1;1;5;-;-;1;1;5;1;-;-;-;23;4;4;1098;5;6;5;9;4;3;2;2268
"313430 Itumirim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"313440 Iturama";-;-;1;35;228;102;5;6;23;6;39;8;21;9;3;8;97;9;5;10;14;19;9;9;4;10;9;3;1;1;-;-;-;2;13;3;4;4;4;8;12;16;12;10;4;8;8;8;8;13;3;3;4;2;-;2;1;2;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;3;3;1;1;3;3;5;1;-;-;2;3;-;6;4;6;9;8;325;5;11;3;14;8;2;8;4;3;6;11;8;8;11;7;7;9;5;5;6;5;5;7;70;7;6;7;-;3;6;5;4;4;3;2;3;1;1;1;2;2;3;91;173;2;3;2;1;2;4;-;-;-;-;-;-;-;1804
"313450 Itutinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;3;-;2;-;-;8;-;-;2;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35
"313460 Jaboticatubas";12;49;59;11;20;77;10;14;5;5;9;8;6;13;-;-;-;-;9;41;60;74;67;6;3;8;12;45;93;106;100;70;79;74;60;74;27;23;25;40;70;77;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;145;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;128;126;-;-;1;-;-;-;-;-;-;-;-;1;-;2113
"313470 Jacinto";-;48;81;124;101;74;1;1;1;-;4;3;3;3;3;1;3;1;1;1;1;1;3;2;155;1;4;10;9;8;4;12;14;13;15;13;12;8;8;13;9;11;15;18;8;13;3;6;5;5;3;14;18;14;10;10;17;14;15;12;13;13;16;16;13;14;7;5;5;8;9;9;11;3;2;6;6;6;6;5;6;6;5;4;28;5;4;2;2;2;4;1;3;6;5;5;10;7;7;6;7;6;7;6;6;5;2;5;3;3;2;3;3;1;3;3;4;3;5;13;5;2;3;4;4;3;3;3;1;2;2;2;1;3;2;3;1;4;4;5;3;3;200;3;3;3;2;3;3;2;1643
"313480 Jacuí";6;30;22;2;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;2;1;2;1;-;-;-;-;-;-;-;1;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;1;1;-;1;1;109
"313490 Jacutinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;1;1;3;-;-;-;-;2;2;5;-;-;-;2;-;52;-;-;-;1;-;-;6;-;-;-;-;-;-;-;-;80
"313500 Jaguaraçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;-;1;12
"313505 Jaíba";4;2;2;-;38;17;1;3;2;1;1;1;1;1;1;-;1;-;-;1;-;1;-;2;1;-;1;3;-;-;-;-;7;1;-;-;-;-;-;-;96;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;2;-;2;1;54;2;2;2;2;39;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;3;1;-;-;5;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;3;1;2;3;3;4;3;5;2;366
"313507 Jampruca";-;-;-;-;-;30;3;1;-;-;-;8;-;-;1;-;4;3;3;1;5;3;6;5;43;21;26;24;41;20;22;26;55;29;19;10;13;16;19;13;16;15;13;10;11;9;9;8;4;6;5;6;7;4;5;3;4;4;3;3;3;3;4;4;4;4;5;4;3;3;4;3;3;4;3;2;2;1;1;1;1;1;2;2;2;2;62;2;2;2;1;1;2;-;-;1;-;-;-;-;-;-;1;1;1;3;2;1;2;1;1;1;-;1;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;3;3;2;2;2;2;2;2;2;-;805
"313510 Janaúba";-;15;1;22;103;98;8;5;5;4;8;4;4;6;11;6;5;6;3;5;6;5;2;74;3;3;4;4;48;4;11;9;2;2;2;2;4;1;1;1;1;2;2;2;4;5;8;4;2;5;4;9;6;15;12;11;11;12;9;11;9;7;5;5;8;39;3;5;1;3;3;3;-;2;6;68;3;4;6;5;4;4;5;4;4;4;5;5;2;2;5;3;2;1;2;2;2;4;3;33;6;3;5;4;3;8;5;4;5;3;6;6;4;2;7;5;6;3;4;4;4;8;3;6;3;3;3;4;4;4;4;6;3;6;75;5;4;17;3;3;3;2;1;1;51;3;2;5;3;6;1261
"313520 Januária";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;2;2;3;4;-;-;1;1;1;7;2;-;3;1;2;3;1;3;3;2;3;4;4;4;5;7;4;5;5;5;5;4;4;3;16;6;3;-;-;1;1;4;4;2;4;3;1;3;2;3;2;3;4;3;2;1;1;1;3;-;-;-;-;-;-;23;-;2;-;-;-;-;1;-;-;7;1;1;-;-;-;1;2;1;1;-;-;5;-;-;3;-;1;2;4;-;3;1;2;2;1;-;1;1;-;-;-;-;-;-;1;1;2;2;2;1;5;1;3;1;7;29;5;308
"313530 Japaraíba";-;-;12;32;43;28;-;5;5;6;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;4;4;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;1;-;1;1;2;2;-;1;1;-;1;1;-;2;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;252
"313535 Japonvar";2;11;2;6;10;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;76;-;-;-;49;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;256;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;531
"313540 Jeceaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35
